name,colony,week,day,time,voxel,subset,treatment
R1C1SK_TUE,1,1,TUE,0,0.0165251,1,SHAM
R1C1SK_WED,1,1,WED,24,0.0165547,1,SHAM
R1C1SK_THU,1,1,THU,48,0.0167305,1,SHAM
R1C1SK_FRI,1,1,FRI,72,0.0165395,1,SHAM
R1C1SK_MON,1,1,MON,144,0.0165251,1,SHAM
R1C2PM_TUE,1,1,TUE,0,0.0165251,2,PATHOGEN
R1C2PM_WED,1,1,WED,24,0.0165547,2,PATHOGEN
R1C2PM_THU,1,1,THU,48,0.0167305,2,PATHOGEN
R1C2PM_FRI,1,1,FRI,72,0.0165395,2,PATHOGEN
R1C2PM_MON,1,1,MON,144,0.0165251,2,PATHOGEN
R2C1PK_TUE,1,2,TUE,0,0.0165833,3,PATHOGEN
R2C1PK_WED,1,2,WED,24,0.0165101,3,PATHOGEN
R2C1PK_THU,1,2,THU,48,0.0165567,3,PATHOGEN
R2C1PK_FRI,1,2,FRI,72,0.0166572,3,PATHOGEN
R2C1PK_MON,1,2,MON,144,0.0165578,3,PATHOGEN
R2C2SM_TUE,1,2,TUE,0,0.0165833,4,SHAM
R2C2SM_WED,1,2,WED,24,0.0165101,4,SHAM
R2C2SM_THU,1,2,THU,48,0.0165567,4,SHAM
R2C2SM_FRI,1,2,FRI,72,0.0166572,4,SHAM
R2C2SM_MON,1,2,MON,144,0.0165578,4,SHAM
R3C1SK_TUE,2,3,TUE,0,0.0167305,5,SHAM
R3C1SK_WED,2,3,WED,24,0.0165772,5,SHAM
R3C1SK_THU,2,3,THU,48,0.0165839,5,SHAM
R3C1SK_FRI,2,3,FRI,72,0.0165839,5,SHAM
R3C1SK_MON,2,3,MON,144,0.0165763,5,SHAM
R3C2PM_TUE,2,3,TUE,0,0.0167305,6,PATHOGEN
R3C2PM_WED,2,3,WED,24,0.0165772,6,PATHOGEN
R3C2PM_THU,2,3,THU,48,0.0165839,6,PATHOGEN
R3C2PM_FRI,2,3,FRI,72,0.0165839,6,PATHOGEN
R3C2PM_MON,2,3,MON,144,0.0165763,6,PATHOGEN
R4C1PK_TUE,2,4,TUE,0,0.0165632,7,PATHOGEN
R4C1PK_WED,2,4,WED,24,0.0165632,7,PATHOGEN
R4C1PK_THU,2,4,THU,48,0.0165632,7,PATHOGEN
R4C1PK_FRI,2,4,FRI,72,0.0165632,7,PATHOGEN
R4C1PK_MON,2,4,MON,144,0.0165632,7,PATHOGEN
R4C2SM_TUE,2,4,TUE,0,0.0165632,8,SHAM
R4C2SM_WED,2,4,WED,24,0.0165632,8,SHAM
R4C2SM_THU,2,4,THU,48,0.0165632,8,SHAM
R4C2SM_FRI,2,4,FRI,72,0.0165632,8,SHAM
R4C2SM_MON,2,4,MON,144,0.0165632,8,SHAM
R5C1SK_TUE,3,5,TUE,0,0.0165632,9,SHAM
R5C1SK_WED,3,5,WED,24,0.0165732,9,SHAM
R5C1SK_THU,3,5,THU,48,0.0165741,9,SHAM
R5C1SK_FRI,3,5,FRI,72,0.0165741,9,SHAM
R5C1SK_MON,3,5,MON,144,0.0165794,9,SHAM
R5C2PM_TUE,3,5,TUE,0,0.0165632,10,PATHOGEN
R5C2PM_WED,3,5,WED,24,0.0165732,10,PATHOGEN
R5C2PM_THU,3,5,THU,48,0.0165741,10,PATHOGEN
R5C2PM_FRI,3,5,FRI,72,0.0165741,10,PATHOGEN
R5C2PM_MON,3,5,MON,144,0.0165794,10,PATHOGEN
R6C1PK_TUE,3,6,TUE,0,0.0165773,11,PATHOGEN
R6C1PK_WED,3,6,WED,24,0.0165778,11,PATHOGEN
R6C1PK_THU,3,6,THU,48,0.016571,11,PATHOGEN
R6C1PK_FRI,3,6,FRI,72,0.0165722,11,PATHOGEN
R6C1PK_MON,3,6,MON,144,0.0165838,11,PATHOGEN
R6C2SM_TUE,3,6,TUE,0,0.0165773,12,SHAM
R6C2SM_WED,3,6,WED,24,0.0165778,12,SHAM
R6C2SM_THU,3,6,THU,48,0.016571,12,SHAM
R6C2SM_FRI,3,6,FRI,72,0.0165722,12,SHAM
R6C2SM_MON,3,6,MON,144,0.0165838,12,SHAM
R7C1SK_TUE,4,7,TUE,0,0.0165657,13,SHAM
R7C1SK_WED,4,7,WED,24,0.0165657,13,SHAM
R7C1SK_THU,4,7,THU,48,0.0165798,13,SHAM
R7C1SK_FRI,4,7,FRI,72,0.0165798,13,SHAM
R7C1SK_MON,4,7,MON,144,0.0165629,13,SHAM
R7C2PM_TUE,4,7,TUE,0,0.0165657,14,PATHOGEN
R7C2PM_WED,4,7,WED,24,0.0165657,14,PATHOGEN
R7C2PM_THU,4,7,THU,48,0.0165798,14,PATHOGEN
R7C2PM_FRI,4,7,FRI,72,0.0165798,14,PATHOGEN
R7C2PM_MON,4,7,MON,144,0.0165629,14,PATHOGEN
R8C1PL_TUE,4,8,TUE,0,0.0165629,15,PATHOGEN
R8C1PL_WED,4,8,WED,24,0.0165621,15,PATHOGEN
R8C1PL_THU,4,8,THU,48,0.0166744,15,PATHOGEN
R8C1PL_FRI,4,8,FRI,72,0.0166744,15,PATHOGEN
R8C1PL_MON,4,8,MON,144,0.016558,15,PATHOGEN
R8C2SL_TUE,4,8,TUE,0,0.0165629,16,SHAM
R8C2SL_WED,4,8,WED,24,0.0165621,16,SHAM
R8C2SL_THU,4,8,THU,48,0.0166744,16,SHAM
R8C2SL_FRI,4,8,FRI,72,0.0166744,16,SHAM
R8C2SL_MON,4,8,MON,144,0.016558,16,SHAM
R9C1SL_TUE,5,9,TUE,0,0.0165592,17,SHAM
R9C1SL_WED,5,9,WED,24,0.0165685,17,SHAM
R9C1SL_THU,5,9,THU,48,0.0165685,17,SHAM
R9C1SL_FRI,5,9,FRI,72,0.0165838,17,SHAM
R9C1SL_MON,5,9,MON,144,0.0165702,17,SHAM
R9C2PL_TUE,5,9,TUE,0,0.0165592,18,PATHOGEN
R9C2PL_WED,5,9,WED,24,0.0165685,18,PATHOGEN
R9C2PL_THU,5,9,THU,48,0.0165685,18,PATHOGEN
R9C2PL_FRI,5,9,FRI,72,0.0165838,18,PATHOGEN
R9C2PL_MON,5,9,MON,144,0.0165702,18,PATHOGEN
R10C1PL_TUE,6,10,TUE,0,0.0165834,19,PATHOGEN
R10C1PL_WED,6,10,WED,24,0.0165834,19,PATHOGEN
R10C1PL_THU,6,10,THU,48,0.0165774,19,PATHOGEN
R10C1PL_FRI,6,10,FRI,72,0.0165774,19,PATHOGEN
R10C1PL_MON,6,10,MON,144,0.0165678,19,PATHOGEN
R10C2SL_TUE,6,10,TUE,0,0.0165834,20,SHAM
R10C2SL_WED,6,10,WED,24,0.0165834,20,SHAM
R10C2SL_THU,6,10,THU,48,0.0165774,20,SHAM
R10C2SL_FRI,6,10,FRI,72,0.0165774,20,SHAM
R10C2SL_MON,6,10,MON,144,0.0165678,20,SHAM
